Date,Close,C_EMA1,C_EMA2,S_RSI_P,C_RSI_V,C_Pos
2024-05-15,155.07,154.27224216267274,152.81722113376924,30,56.098585354627325,B_N_Y
2024-05-16,156.03,154.49196189233862,152.99570885363255,30,57.25912565410298,B_N_Y
2024-05-17,157.9,154.9179666557963,153.26816948018845,30,59.42074590868392,B_N_Y
2024-05-18,158.87,155.41197082382178,153.579382294734,30,60.49291761268038,B_N_Y
2024-05-21,159.04,155.86547447084405,153.88274995228977,30,60.68126528583087,B_N_Y
2024-05-22,159.26,156.28979016198852,154.18148607280645,30,60.930620715258996,B_N_Y
2024-05-23,159.06,156.63606639173994,154.45251463010518,30,60.56937478949268,B_N_Y
2024-05-24,159.38,156.97905809277245,154.7262638228429,30,60.95255512664021,B_N_Y
2024-05-27,159.5,157.2941758311759,154.99147139329236,30,61.0992052896835,B_N_Y
2024-05-28,158.47,157.4411538522789,155.18472298603058,30,59.12742671324255,B_N_Y
2024-05-29,158.67,157.59475962074401,155.37834949009655,30,59.390674293760824,B_N_Y
2024-05-30,156.6,157.470414668151,155.44621896395805,30,55.55931487161165,B_N_Y
2024-05-31,157.18,157.43411283463212,155.54254013408683,30,56.375052436501505,B_N_Y
2024-06-03,160.45,157.8110987303031,155.81517679720662,30,60.593745160521074,B_N_Y
2024-06-04,157.23,157.73846138901519,155.89377808731325,30,55.1600074838144,B_N_Y
2024-06-05,153.39,157.19490371538825,155.7546793029088,30,49.66555098237259,B
2024-06-06,157.84,157.2755407509647,155.87053045414416,30,55.03497063340783,B_N_Y
2024-06-07,161.26,157.77359815709409,156.16994543232371,30,58.55035036714458,B_N_Y
2024-06-10,163.27,158.4606483874573,156.56439291254821,30,60.431156071364526,B_N_Y
2024-06-11,165.03,159.2818173390251,157.03470442218406,30,61.993307097205076,B_N_Y
2024-06-12,166.45,160.177840171647,157.55777640374754,30,63.205715538812655,B_N_Y
2024-06-13,170.08,161.41561015019113,158.2534554987315,30,66.06816455130918,B_N_Y
2024-06-14,169.38,162.41115888141726,158.8715968652027,30,65.05850227354942,B_N_Y
2024-06-18,170.89,163.4710140212401,159.53928593364313,30,66.21079809505474,B_N_Y
2024-06-19,170.11,164.30088726858511,160.126547830701,30,65.0642148891738,B_N_Y
2024-06-20,171.35,165.18202636001197,160.7500729557125,30,66.03160603164014,B_N_Y
